,Height,Weight,BMI
0,5.38,66.99,0
1,5.28,73.04,1
2,3.97,44.23,0
3,3.02,79.1,1
4,3.14,92.8,1
5,3.88,67.3,1
6,4.83,95.81,1
7,4.61,51.97,0
8,4.07,85.2,1
9,5.64,33.91,0
10,6.44,86.35,0
11,5.41,72.24,0
12,3.22,82.78,1
13,4.84,65.05,0
14,6.24,97.12,1
15,5.11,94.77,1
16,4.16,38.81,0
17,5.14,55.03,0
18,3.39,90.84,1
19,5.51,95.77,1
20,6.0,81.42,0
21,6.08,37.73,0
22,3.66,81.79,1
23,3.45,75.1,1
24,3.45,77.16,1
25,4.23,74.77,1
26,5.45,44.12,0
27,6.7,31.98,0
28,6.79,79.7,0
29,3.85,34.16,0
30,4.25,68.93,1
31,3.75,37.23,0
32,4.9,38.94,0
33,4.69,72.28,1
34,4.89,94.49,1
35,5.17,53.21,0
36,3.37,37.91,0
37,4.17,78.65,1
38,3.51,92.26,1
39,3.88,45.34,0
40,5.29,62.64,0
41,5.6,59.37,0
42,4.77,89.58,1
43,5.99,66.28,0
44,5.24,96.19,1
45,4.27,98.19,1
46,6.39,61.46,0
47,4.73,34.67,0
48,5.06,85.95,1
49,5.0,64.15,0
50,6.06,36.68,0
51,6.81,48.1,0
52,6.86,70.54,0
53,3.16,30.58,0
54,5.11,80.74,1
55,6.81,57.48,0
56,6.39,41.85,0
57,5.03,69.74,1
58,4.28,83.82,1
59,5.98,93.53,1
60,6.03,66.4,0
61,3.44,44.68,0
62,5.94,32.28,0
63,6.74,74.38,0
64,3.74,73.03,1
65,3.76,44.55,0
66,4.48,90.25,1
67,5.9,97.08,1
68,6.56,60.34,0
69,6.83,53.08,0
70,4.82,31.32,0
71,6.52,54.74,0
72,6.77,50.67,0
73,3.13,62.07,1
74,6.11,37.01,0
75,6.72,85.87,0
76,6.92,31.79,0
77,4.06,98.76,1
78,6.28,50.75,0
79,5.87,92.11,1
80,5.27,38.83,0
81,3.58,40.85,0
82,3.78,52.15,1
83,6.31,44.44,0
84,3.47,49.55,1
85,3.17,70.09,1
86,5.75,95.78,1
87,4.16,79.39,1
88,4.5,50.79,0
89,3.77,46.65,0
90,6.55,67.18,0
91,3.38,47.47,1
92,3.29,95.31,1
93,4.15,61.81,1
94,6.73,41.2,0
95,5.94,75.21,0
96,5.3,80.39,1
97,5.79,40.36,0
98,5.79,49.6,0
99,4.96,34.07,0
